category,new_name,source,status,width,height,sha1_12,note
09_decors_paris_la_defense/pack_02_la_defense_quotidienne,la_defense_esplanade_bascule_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_59_44 AM.png",validated,468,553,8e96bd349b11,"Esplanade de La Defense mode bascule, froid/bleu, presque vide."
09_decors_paris_la_defense/pack_02_la_defense_quotidienne,la_defense_grande_arche_inspiration_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_59_44 AM.png",validated,469,553,222314bcbe3d,"Parvis / Grande Arche inspiration, architecture monumentale."
09_decors_paris_la_defense/pack_02_la_defense_quotidienne,la_defense_centre_commercial_inspiration_quatre_temps_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_59_44 AM.png",validated,468,556,706fedde6e4a,Centre commercial moderne inspiration Quatre Temps.
09_decors_paris_la_defense/pack_02_la_defense_quotidienne,la_defense_couloir_rer_metro_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_59_44 AM.png",validated,469,556,e14cb8b9bd0f,"Couloir RER/metro La Defense, passants flous."
09_decors_paris_la_defense/pack_04_quartiers_paris,marais_rue_jour_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (1).png",validated_primary,468,416,edcaeeb0d275,"Rue du Marais jour, lumineuse, vivante."
09_decors_paris_la_defense/pack_04_quartiers_paris,marais_cafe_matin_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (1).png",validated_primary,469,416,4b50ec03a7f0,"Cafe du Marais matin, terrasse chaleureuse."
09_decors_paris_la_defense/pack_04_quartiers_paris,montmartre_matin_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (1).png",validated_primary,468,414,ca7a4881b0d6,"Montmartre matin, rue/pente, ambiance locale."
09_decors_paris_la_defense/pack_04_quartiers_paris,canal_saint_martin_fin_apres_midi_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (1).png",validated_primary,469,414,6b5cdc57f7bc,"Canal Saint-Martin fin apres-midi, vie humaine."
09_decors_paris_la_defense/pack_04_quartiers_paris,saint_germain_cafe_interieur_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (1).png",validated_primary,468,414,1606696860ae,"Cafe interieur Saint-Germain, litteraire et chaleureux."
09_decors_paris_la_defense/pack_04_quartiers_paris,passage_couvert_parisien_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (1).png",validated_primary,469,414,a2e764147c07,Passage couvert parisien lumineux.
09_decors_paris_la_defense/pack_04_quartiers_paris,rue_parisienne_quotidienne_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (1).png",validated_primary,468,416,813959e8a94b,"Rue parisienne quotidienne, scooters, cafes."
09_decors_paris_la_defense/pack_04_quartiers_paris,rue_parisienne_bascule_subtile_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (1).png",validated_primary,469,416,31b6d12fe268,"Rue parisienne bascule subtile, pluie/reflets bleu-violet."
09_decors_paris_la_defense/pack_04_quartiers_paris,marais_rue_jour_sobre_02.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (2).png",validated_alternate,468,416,30b1cdc36b79,Alternative Marais plus sobre et realiste.
09_decors_paris_la_defense/pack_04_quartiers_paris,marais_cafe_matin_sobre_02.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (2).png",validated_alternate,469,416,ac7bd3ef4084,Alternative cafe terrasse plus sobre.
09_decors_paris_la_defense/pack_04_quartiers_paris,montmartre_matin_sobre_02.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (2).png",validated_alternate,468,414,1bb215fa77d8,Alternative Montmartre plus calme.
09_decors_paris_la_defense/pack_04_quartiers_paris,canal_saint_martin_sobre_02.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (2).png",validated_alternate,469,414,e0b6cc4e97d5,Alternative Canal Saint-Martin plus naturelle.
09_decors_paris_la_defense/pack_04_quartiers_paris,saint_germain_cafe_interieur_sobre_02.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (2).png",validated_alternate,468,414,b23a05d9b1d2,Alternative cafe interieur plus sombre/sobre.
09_decors_paris_la_defense/pack_04_quartiers_paris,passage_couvert_sobre_02.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (2).png",validated_alternate,469,414,450ccf12f53b,Alternative passage couvert plus mystere.
09_decors_paris_la_defense/pack_04_quartiers_paris,rue_parisienne_quotidienne_sobre_02.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (2).png",validated_alternate,468,416,7966fab903c8,Alternative rue quotidienne plus grise.
09_decors_paris_la_defense/pack_04_quartiers_paris,rue_parisienne_bascule_sobre_02.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_32_38 AM (2).png",validated_alternate,469,416,36793957243d,Alternative rue bascule plus froide.
09_decors_paris_la_defense/pack_03_paris_iconique_complement,paris_invalides_fin_journee_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_37_32 AM.png",validated,941,1672,76058b320f1e,"Invalides fin de journee, Paris iconique, exploitable pour etablir la ville."
09_decors_paris_la_defense/pack_03_paris_iconique_complement,paris_place_opera_inspiration_jour_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_36_25 AM.png",validated_complement,468,416,9bd57c5803f9,"Place parisienne type Opera, vie urbaine."
09_decors_paris_la_defense/pack_03_paris_iconique_complement,paris_entree_metro_place_jour_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_36_25 AM.png",validated_complement,469,416,308f6b7d9ec6,"Entree metro sur place parisienne, vie quotidienne."
09_decors_paris_la_defense/pack_03_paris_iconique_complement,paris_fontaine_place_jour_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_36_25 AM.png",validated_complement,468,414,81f548588b91,"Place avec fontaine, ambiance parisienne."
09_decors_paris_la_defense/pack_03_paris_iconique_complement,paris_galerie_transport_interieur_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_36_25 AM.png",validated_complement,469,414,734911422527,"Galerie/transport interieur, foule, usage transition."
09_decors_paris_la_defense/pack_03_paris_iconique_complement,paris_quai_metro_train_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_36_25 AM.png",validated_complement,468,414,79a57fbb0cb5,"Quai metro avec rame, potentiel tension."
09_decors_paris_la_defense/pack_03_paris_iconique_complement,paris_place_metro_rue_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_36_25 AM.png",validated_complement,469,414,915c50068f11,"Place parisienne avec entree metro, transition urbaine."
09_decors_paris_la_defense/pack_03_paris_iconique_complement,paris_quais_seine_soir_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_36_25 AM.png",validated_complement,468,416,13aed335751a,"Quais de Seine au soir, vie humaine."
09_decors_paris_la_defense/pack_03_paris_iconique_complement,paris_place_nuit_pluie_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 01_36_25 AM.png",validated_complement,469,416,625f20e141ca,"Place parisienne nuit/pluie, bascule urbaine."
10_famille_luna,luna_parents_portrait_officiel_yawatch_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_30 PM.png",copied/cropped,1498,1050,92a36b75b955,"Parents de Luna, portrait officiel facade YAWatch, sombre/premium."
10_famille_luna,luna_parents_appartement_canape_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_24 PM.png",copied/cropped,558,645,c8abaf1aed3f,"Parents de Luna, intimite appartement, facade douce."
10_famille_luna,luna_parents_cuisine_matin_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_24 PM.png",copied/cropped,559,470,f7d46a379d64,"Parents de Luna, cuisine matin, vie quotidienne."
10_famille_luna,luna_parents_balcon_paris_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_24 PM.png",copied/cropped,558,334,ad478040d6d2,"Parents de Luna, balcon parisien, image sociale elegante."
10_famille_luna,luna_parents_travail_documents_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_24 PM.png",copied/cropped,559,494,b08dd108ec4a,"Parents de Luna, documents et decisions familiales/professionnelles."
10_famille_luna,luna_parents_rue_parisienne_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_24 PM.png",copied/cropped,558,413,c316724aa7c8,"Parents de Luna, marche rue parisienne, vie publique."
10_famille_luna,luna_parents_soiree_canape_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_24 PM.png",copied/cropped,559,428,8fafc7d74e26,"Parents de Luna, soiree vin/canape, calme apparent."
10_famille_luna,luna_pere_bureau_verre_silence_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_19 PM.png",copied/cropped,556,372,ca709d650a35,"Pere de Luna, bureau sombre, calme menacant."
10_famille_luna,luna_pere_diner_tension_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_19 PM.png",copied/cropped,559,372,6fcc12ed53fc,"Pere de Luna, diner sous tension, domination psychologique."
10_famille_luna,luna_pere_parking_lunettes_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_19 PM.png",copied/cropped,556,298,3e11278d7242,"Pere de Luna, parking, allure mafieuse/operations."
10_famille_luna,luna_pere_intimidation_contact_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_19 PM.png",copied/cropped,559,393,22599fa71910,"Pere de Luna, intimidation physique non graphique, a utiliser avec prudence."
10_famille_luna,luna_pere_appel_nuit_tour_eiffel_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_19 PM.png",copied/cropped,556,319,f8e6c34f1e66,"Pere de Luna, appel nocturne Paris, secret en mouvement."
10_famille_luna,luna_pere_bureau_face_dossier_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_19 PM.png",copied/cropped,556,355,ddb0f9bd43ca,"Pere de Luna, bureau face camera, autorite froide."
10_famille_luna,luna_pere_portrait_clan_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 03_55_19 PM.png",copied/cropped,559,589,d2621030a3b3,"Pere de Luna, portrait avec hommes en arriere-plan, reseau dangereux."
03_aby,aby_enfant_canon_apk_maquette_ville_01.png,C:\Users\saint\Documents\Codex\2026-06-09\yawatch-luna-stories-public-yawatch-luna\outputs\luna_stories_assets\00_assets_deja_dans_app\app_aby_enfant_current.png,canon_alias,1402,1122,491d0999f038,"Aby enfant canon APK: petite blonde, regard strategique, maquette de ville. Ne pas confondre avec Luna enfant."
